"feature name","model name","Baseline","Logistic Regression","KNN","Decision Tree","SVC"
"features 1","train score",0.11154286507303196,0.11154286507303196,0.11154286507303196,0.11154286507303196,0.11154286507303196
"features 1","test score",0.11527564154456407,0.11527564154456407,0.11527564154456407,0.11527564154456407,0.11527564154456407
"features 1","average fit time",0.004892826080322266,0.06542868614196777,0.010303115844726563,0.007429361343383789,3.0066161155700684
"features 2","train score",0.11154286507303196,0.11154286507303196,0.11154286507303196,0.11154286507303196,0.11154286507303196
"features 2","test score",0.11527564154456407,0.11527564154456407,0.11527564154456407,0.11527564154456407,0.11527564154456407
"features 2","average fit time",0.004177379608154297,0.06433358192443847,0.01670980453491211,0.007130622863769531,2.963482475280762
"features_3","train score",0.11154286507303196,0.11154286507303196,0.1777053047913125,0.11154286507303196,0.11154286507303196
"features_3","test score",0.11527564154456407,0.11527564154456407,0.18222294179551526,0.11527564154456407,0.11527564154456407
"features_3","average fit time",0.004259252548217773,0.1067021369934082,0.021175861358642578,0.008754205703735352,3.05582537651062
"features_4","train score",0.11154286507303196,0.11154286507303196,0.11393678659403948,0.10651216042743643,0.11154286507303196
"features_4","test score",0.11527564154456407,0.11527564154456407,0.12183275317736582,0.1164899214765644,0.11527564154456407
"features_4","average fit time",0.004070091247558594,0.19022903442382813,0.03901987075805664,0.025163984298706053,18.32618088722229
"features_5","train score",0.11154286507303196,0.11154286507303196,0.10796933004891926,0.09707525240259515,0.11154286507303196
"features_5","test score",0.11527564154456407,0.11527564154456407,0.12126608920909901,0.1219946571682992,0.11527564154456407
"features_5","average fit time",0.004394054412841797,0.13172993659973145,0.02849688529968262,0.034439468383789064,19.183495330810548
"features_6","train score",0.11154286507303196,0.11154286507303196,0.10783055198973042,0.08753426083336224,0.11154286507303196
"features_6","test score",0.11527564154456407,0.11527564154456407,0.12126608920909901,0.1330850805472355,0.11527564154456407
"features_6","average fit time",0.0038113117218017576,0.2078855514526367,0.02806100845336914,0.04125356674194336,20.194213485717775
"features_7","train score",0.11154286507303196,0.11154286507303196,0.10696318911980016,0.08167088783263365,0.11154286507303196
"features_7","test score",0.11527564154456407,0.11527564154456407,0.119970857281632,0.13810410426617017,0.11527564154456407
"features_7","average fit time",0.003024435043334961,0.19718990325927735,0.045070219039916995,0.04588193893432617,20.90210404396057
"features_keep4","train score",0.11154286507303196,0.11154286507303196,0.10925302709641606,0.10002428616035805,0.11154286507303196
"features_keep4","test score",0.11527564154456407,0.11527564154456407,0.12045656925443213,0.11916133732696511,0.11527564154456407
"features_keep4","average fit time",0.004935550689697266,0.22306089401245116,0.046718788146972653,0.030187034606933595,18.780799245834352